X,Y:Acc_TX-Body1-Model1(m/s^2),Y:Acc_TY-Body1-Model1(m/s^2),Y:Acc_TZ-Body1-Model1(m/s^2)
1.896253,1.8055214,0.32786121,0
1.897253,1.8053708,0.33539187,0
1.898253,1.8051766,0.34294311,0
1.899253,1.8049383,0.3505147,0
1.900253,1.8046557,0.35810639,0
1.901253,1.8043286,0.36571794,0
1.902253,1.8039569,0.37334909,0
1.903253,1.8035401,0.3809996,0
1.904253,1.8030782,0.38866921,0
1.905253,1.8025708,0.39635765,0
1.906253,1.8020178,0.40406468,0
1.907253,1.8014189,0.41179001,0
1.908253,1.8007739,0.41953339,0
1.909253,1.8000825,0.42729454,0
1.910253,1.7993447,0.43507318,0
1.911253,1.79856,0.44286904,0
1.912253,1.7977284,0.45068184,0
1.913253,1.7968496,0.45851129,0
1.914253,1.7959235,0.46635711,0
1.915253,1.7949497,0.474219,0
1.916253,1.7939281,0.48209667,0
1.917253,1.7928585,0.48998982,0
1.918253,1.7917408,0.49789815,0
1.919253,1.7905746,0.50582136,0
1.920253,1.7893598,0.51375915,0
1.921253,1.7880963,0.52171119,0
1.922253,1.7867839,0.52967719,0
1.923253,1.7854222,0.53765683,0
1.924253,1.7840113,0.54564978,0
1.925253,1.7825509,0.55365572,0
1.926253,1.7810408,0.56167434,0
1.927253,1.7794809,0.5697053,0
1.928253,1.7778709,0.57774828,0
1.929253,1.7762108,0.58580293,0
1.930253,1.7745004,0.59386893,0
1.931253,1.7727395,0.60194594,0
1.932253,1.7709279,0.61003361,0
1.933253,1.7690656,0.6181316,0
1.934253,1.7671523,0.62623956,0
1.935253,1.765188,0.63435714,0
1.936253,1.7631724,0.64248399,0
1.937253,1.7611055,0.65061975,0
1.938253,1.7589871,0.65876407,0
1.939253,1.7568172,0.66691658,0
1.940253,1.7545955,0.67507692,0
1.941253,1.7523219,0.68324472,0
1.942253,1.7499964,0.69141962,0
1.943253,1.7476188,0.69960125,0
1.944253,1.7451891,0.70778922,0
1.945253,1.742707,0.71598317,0
1.946253,1.7401726,0.72418271,0
1.947253,1.7375857,0.73238747,0
1.948253,1.7349463,0.74059705,0
1.949253,1.7322541,0.74881108,0
1.950253,1.7295093,0.75702917,0
1.951253,1.7267117,0.76525093,0
1.952253,1.7238611,0.77347595,0
